ID_Respondente,Data_Resposta,Q1_Base_Matematica,Q2_Dificuldades,Q2_Outros,Q3_Contato_Calculo,Q4_Preocupacoes,Q4_Outros,Q5_Tipo_Ensino_Medio,Q6_Curso,Q7_Semestre,Q8_Campus,Q9_Componentes_EaD,Q10_Coeficiente_Rendimento,Q11_Horas_Estudo_Semana,Q12_Local_Preferencial,Q13_Autonomia_Estudo,Q14_Estrategias_Aprendizagem,Q15_Preferencia_Conteudo,Q16_Experiencia_Recursos,Q17_Motivacao_Intrinseca_Extrinseca,Q18_Areas_Dificuldade,Q19_Disciplinas_EaD,Q20_Reprovacao_Trancamento,Q21_Ansiedade_Provas,Q22_Obstaculos_EaD,Q23_Familiaridade_AVA,Q24_Frequencia_Acesso,Q25_Dispositivo_Mais_Usado,Q26_Conforto_IA,Q27_Dependencia_IA,Q28_Como_Assistente_Ajuda,Q29_Forma_Receber_Retorno,Q30_Abertura_Testes,Q31_Autoavaliacao_Desempenho,Q32_Proficiencia_Digital,Q33_Engajamento_Atual
1,2026-04-04 18:23:04,1,Álgebra,,2,Volume de exercícios,,Pública,Farmácia,7,Campus Centro,"Sociologia, Filosofia",5.903,Entre 2 e 4 horas,"Laboratório, Minha casa, Biblioteca universidade",2,"Exercícios teóricos, Exercícios práticos, Resumos, Mapas mentais",Auditivos,1,2,"Estatística, Eletrônica, Mecânica",2,2,2,"Tempo disponível, Conteúdos complexos",3,Diária,"Computador próprio, Smartphone",4,0,"Gestão de tempo, Roteiro de estudos, Explicações extras","Relatórios semanais, Dashboards visuais, Alertas rápidos","Usar protótipos, Responder pesquisas rápidas",1,5,3
2,2026-04-04 18:23:04,5,"Polinômios, Trigonometria",,1,"Volume de exercícios, Tempo para acompanhar, Linguagem e símbolos",,Pública,Engenharia de Produção,5,Polo EaD - São Paulo,"História, Metodologia Científica",6.199,Entre 4 e 6 horas,Biblioteca universidade,1,"Mapas mentais, Exercícios teóricos, Resumos, Exercícios práticos",Interativos,3,5,"Álgebra linear, Física, Didática",5,2,1,"Tempo disponível, Conteúdos complexos",1,Mensal,"Tablet, Computador universidade",3,0,"Roteiro de estudos, Gestão de tempo","Relatórios semanais, Alertas rápidos","Responder pesquisas rápidas, Usar protótipos",2,3,2
3,2026-04-04 18:23:04,2,"Polinômios, Álgebra, Geometria analítica",Estatística básica,4,"Tempo para acompanhar, Volume de exercícios, Linguagem e símbolos",,Privada,Engenharia Civil,1,Campus Centro,"Psicologia Geral, Comunicação Aplicada",8.198,Mais de 10 horas,"Laboratório, Minha casa",4,"Exercícios teóricos, Exercícios práticos, Vídeoaulas",Auditivos,5,1,"Cálculo, Programação, Interpreção de texto",5,2,3,"Tempo disponível, Conteúdos complexos",3,Eventual,"Computador próprio, Smartphone",4,0,"Gestão de tempo, Recomendações de materiais, Roteiro de estudos, Explicações extras","Relatórios semanais, Dashboards visuais, Alertas rápidos","Usar protótipos, Responder pesquisas rápidas",3,2,5
4,2026-04-04 18:23:04,5,Polinômios,,4,Linguagem e símbolos,,Privada,Direito,1,Campus Zona Norte,Educação Ambiental,9.572,Até 2 horas,"Biblioteca pública, Minha casa, Biblioteca universidade",2,"Exercícios práticos, Mapas mentais",Auditivos,5,5,"Estatística, Eletrônica, Mecânica",1,1,3,"Engajamento, Apoio docente insuficiente",3,Eventual,"Computador próprio, Tablet",4,0,"Recomendações de materiais, Explicações extras",Dashboards visuais,Usar protótipos,5,2,1
5,2026-04-04 18:23:04,1,"Álgebra, Funções, Trigonometria",,1,"Linguagem e símbolos, Interpretação de problemas",,Privada,Enfermagem,8,Campus Zona Norte,Educação Ambiental,6.069,Entre 8 e 10 horas,"Biblioteca pública, Casa de um parente, Laboratório",4,"Resumos, Exercícios teóricos",Interativos,3,4,"Estatística, Eletrônica, Mecânica",3,0,1,"Tempo disponível, Conteúdos complexos",4,Mensal,"Computador próprio, Smartphone",2,1,"Roteiro de estudos, Lembretes de prazos","Relatórios semanais, Alertas rápidos","Usar protótipos, Responder pesquisas rápidas",4,2,1
6,2026-04-04 18:23:04,4,"Funções, Álgebra, Polinômios",,2,Tempo para acompanhar,Memória de fórmulas,Privada,Direito,7,Campus Centro,"Psicologia Geral, Comunicação Aplicada",7.13,Entre 6 e 8 horas,"Biblioteca pública, Biblioteca universidade",4,"Exercícios teóricos, Exercícios práticos, Resumos, Vídeoaulas",Auditivos,2,1,"Cálculo, Programação, Interpreção de texto",5,2,1,"Tempo disponível, Conteúdos complexos",5,Eventual,"Computador próprio, Tablet",5,1,"Roteiro de estudos, Explicações extras","Relatórios semanais, Alertas rápidos",Usar protótipos,2,4,1
7,2026-04-04 18:23:04,5,Polinômios,Estatística básica,1,"Linguagem e símbolos, Volume de exercícios, Interpretação de problemas",,Pública,Enfermagem,6,Campus Zona Norte,"História, Metodologia Científica",7.202,Mais de 10 horas,"Biblioteca universidade, Biblioteca pública, Casa de um parente",1,"Exercícios práticos, Resumos",Textuais,5,2,"Matemática, Lógica, Redação",1,2,1,"Tempo disponível, Conteúdos complexos",3,Mensal,"Computador próprio, Smartphone",4,4,"Gestão de tempo, Explicações extras, Roteiro de estudos, Recomendações de materiais","Relatórios semanais, Dashboards visuais, Alertas rápidos",Usar protótipos,3,1,1
8,2026-04-04 18:23:04,5,Geometria analítica,,5,Interpretação de problemas,,Privada,Psicologia,8,Campus Zona Sul,"Sociologia, Filosofia",5.897,Entre 6 e 8 horas,"Minha casa, Laboratório",3,"Vídeoaulas, Mapas mentais",Interativos,5,4,"Cálculo, Programação, Interpreção de texto",0,0,2,Tempo disponível,1,Mensal,"Computador próprio, Tablet",5,1,"Recomendações de materiais, Explicações extras, Roteiro de estudos",Dashboards visuais,Responder pesquisas rápidas,2,2,1
9,2026-04-04 18:23:04,3,"Progressões, Polinômios, Trigonometria",,2,Tempo para acompanhar,,Pública,Engenharia Química,6,Polo EaD - São Paulo,"Psicologia Geral, Comunicação Aplicada",6.647,Mais de 10 horas,Biblioteca pública,1,"Mapas mentais, Exercícios teóricos, Exercícios práticos",Auditivos,3,2,"Álgebra linear, Física, Didática",0,1,4,"Engajamento, Apoio docente insuficiente",3,Diária,"Tablet, Computador universidade",3,5,"Lembretes de prazos, Gestão de tempo, Explicações extras, Roteiro de estudos",Dashboards visuais,Responder pesquisas rápidas,1,1,5
10,2026-04-04 18:23:04,4,"Álgebra, Geometria analítica",Matrizes,5,"Linguagem e símbolos, Volume de exercícios, Tempo para acompanhar",,Pública,Engenharia Química,7,Campus Centro,Educação Ambiental,9.48,Entre 8 e 10 horas,"Casa de um parente, Biblioteca universidade, Laboratório",1,"Vídeoaulas, Exercícios teóricos, Exercícios práticos, Resumos",Auditivos,5,3,"Estatística, Eletrônica, Mecânica",2,mais de 5,3,Tempo disponível,2,Semanal,"Tablet, Computador universidade",4,5,"Recomendações de materiais, Gestão de tempo, Roteiro de estudos, Explicações extras",Dashboards visuais,"Usar protótipos, Responder pesquisas rápidas",5,5,3
