Disciplina,Ementa,Pré-requisitos,Horas,Semestre,Dificuldade,Departamento,Créditos,Habilidades Adquiridas,Ferramentas Usadas,Métodos de Avaliação
Introdução à Ciência da Computação,"Fundamentos de ciência da computação, algoritmos básicos, estrutura de computadores, história da computação, introdução a programação",Nenhum,60,1,2,Ciência da Computação,3,"Resolução de problemas, Pensamento em algoritmos, Programação básica","Python, Pseudocode, IDE","Provas 40%, Projetos 30%, Participação 30%"
Fundamentos de Programação I,"Conceitos básicos de programação, variáveis, tipos de dados, controle de fluxo, funções, arrays, introdução a debugging",Introdução à Ciência da Computação,90,1,2,Ciência da Computação,4,"Variáveis e tipos de dados, Fluxo de controle, Funções, Depuração básica","Python, VS Code, Git","Provas 30%, Atribuições de Codificação 50%, Quizzes 20%"
Fundamentos de Programação II,"Estruturas de dados: listas, pilhas, filas, árvores; manipulação de strings, arquivos, exceções",Fundamentos de Programação I,90,2,2,Ciência da Computação,4,"Estruturas de dados, E/S de arquivo, Tratamento de exceções, Processamento de strings","Python, VS Code, Depuração tools","Provas 30%, Coding projects 50%, Revisão de Código 20%"
Matemática Discreta,"Lógica proposicional, teoria dos conjuntos, relações, funções, combinatória, teoria dos grafos, indução matemática",Nenhum,75,2,5,Matemática,4,"Raciocínio matemático, Escrita de provas, Resolução de problemas","LaTeX, Python for visualization, Wolfram Alpha","Provas 50%, Lição de Casa 40%, Participação 10%"
Álgebra Linear,"Matrizes, determinantes, espaços vetoriais, autovalores, autovetores, transformações lineares, aplicações",Matemática Discreta,75,2,5,Matemática,4,"Operações de matriz, Computações vetoriais, Análise de autovalor","MATLAB, Python NumPy, Mathematica","Provas 40%, Conjuntos de Problemas 40%, Projetos 20%"
Estrutura de Dados,"Listas ligadas, árvores binárias, árvores de busca, heaps, grafos, hash tables, análise de complexidade",Fundamentos de Programação II,90,3,5,Ciência da Computação,4,"Data structure implEmentation, Análise Big-O, Design de Algoritmos","C, Java, Python, Visual Studio","Provas 30%, Atribuições de Codificação 50%, Projeto Final 20%"
Algoritmos,"Algoritmos de ordenação, busca, grafos, programação dinâmica, análise assintótica, NP-completude",Estrutura de Dados; Matemática Discreta,90,3,5,Ciência da Computação,4,"Design de Algoritmos, Análise de complexidade, Resolução de problemas","Python, Java, Algorithm visualizers","Provas 35%, Design de Algoritmos 40%, Artigo de Pesquisa 25%"
Sistemas de Banco de Dados,"Modelo relacional, SQL, normalização, indexação, otimização de queries, transações, ACID",Estrutura de Dados,90,3,5,Ciência da Computação,4,"Design de Banco de Dados, SQL, Otimização de consultas, Modelagem de dados","PostgreSQL, MySQL, MongoDB, DB visualization tools","Provas 30%, Atribuições de SQL 35%, Projeto de Design de Banco de Dados 35%"
Programação Orientada a Objetos,"Classes, herança, polimorfismo, encapsulamento, design patterns, SOLID principles",Fundamentos de Programação II,90,2,5,Ciência da Computação,4,"Conceitos OOP, Padrões de design, Organização de código","Java, C++, Python, UML tools","Provas 25%, OOP design 40%, Projetos de ImplEmentação 35%"
Fundamentos de Desenvolvimento Web,"HTML, CSS, JavaScript, DOM, responsive design, HTTP protocol, client-server architecture",Fundamentos de Programação I,90,3,5,Ciência da Computação,4,"HTML/CSS, JavaScript, Design responsivo, Compreensão de HTTP","HTML5, CSS3, JavaScript, Chrome DevTools, Visual Studio Code","Provas 20%, Projetos Web 50%, Revisão de Código 30%"
